helmetTouched,fsrValue,buckled
1,503,0
0,553,0
1,504,0
1,508,0
1,568,0
1,574,0
1,590,0
1,493,0
1,569,0
1,503,0
1,685,0
1,699,0
1,968,0
1,1709,0
1,1421,0
1,1226,0
1,777,0
1,1129,0
1,1118,0
1,1144,0
1,1099,0
1,1143,0
1,1065,0
1,1103,0
1,1067,0
1,1101,0
1,1015,0
0,985,0
1,1018,0
1,989,0
1,1066,0
1,920,0
1,1199,0
1,1001,0
1,1002,0
1,1034,0
0,1039,0
1,955,0
1,936,0
1,1116,0
1,1040,0
1,1081,0
1,1069,0
1,1097,0
1,1068,0
1,1070,0
1,1086,0
1,1068,0
1,1086,0
1,1099,0
1,1099,0
1,1050,0
1,1066,0
1,1113,0
1,1069,0
1,1069,0
1,1040,0
1,988,0
1,967,0
1,1002,0
1,695,0
1,1024,0
1,909,0
1,1051,0
1,1051,0
1,1021,0
1,1066,0
1,1037,0
1,1080,0
1,1097,0
1,1150,0
1,1111,0
1,1130,0
1,1133,0
1,1006,0
1,1230,0
1,1227,0
1,1148,0
1,1192,0
1,1182,0
1,1160,0
1,1279,0
1,1149,0
1,1178,0
1,1214,0
1,1146,0
1,1193,0
1,1021,0
0,1066,0
1,842,0
1,954,0
0,923,0
1,969,0
1,969,0
0,972,0
1,987,0
1,1038,0
1,1004,0
1,1050,0
1,896,0
0,934,0
1,939,0
1,952,0
1,941,0
1,984,0
0,1003,0
0,1040,0
1,1006,0
1,1018,0
1,1021,0
1,973,0
1,973,0
0,988,0
1,1015,0
1,992,0
0,1021,0
1,1005,0
1,1322,0
1,1102,0
1,1225,0
1,1306,0
0,1098,0
0,1321,0
1,1382,0
0,1417,0
1,1440,0
0,1359,0
1,1351,0
1,1247,0
1,1327,0
