helmetTouched,fsrValue,buckled
1,58,0
1,121,0
1,65,0
1,185,0
1,464,0
1,407,0
1,345,0
1,0,0
1,329,0
1,237,0
0,2246,0
0,1517,0
0,1433,0
0,1399,0
0,1372,0
0,1067,0
0,973,0
1,1705,0
1,988,0
1,1293,0
1,1274,0
1,1272,0
1,1275,0
1,937,0
1,1323,0
1,1356,0
1,1352,0
1,1353,0
1,1321,0
1,1322,0
1,1336,0
1,1310,0
1,1354,0
1,1354,0
1,2172,0
1,1326,0
1,1447,0
1,1417,0
1,1390,0
1,1354,0
1,2172,0
1,1326,0
1,1447,0
1,1417,0
1,1390,0
1,1354,0
1,1295,0
1,1369,0
1,1530,0
1,1547,0
1,1356,0
1,1375,0
1,1369,0
1,1392,0
1,1402,0
1,1401,0
1,1408,0
1,937,0
1,1323,0
1,1356,0
1,1352,0
1,1353,0
1,1321,0
1,1322,0
1,1336,0
1,1310,0
1,1354,0
1,1354,0
1,2172,0
1,1326,0
1,1447,0
1,1417,0
1,1390,0
1,1354,0
1,1295,0
1,1369,0
1,1369,0
1,1392,0
1,1402,0
1,1401,0
1,1408,0
1,1421,0
1,1408,0
1,1433,0
0,1432,0
1,1437,0
1,1386,0
1,1463,0
1,1438,0
1,1466,0
1,1497,0
1,1447,0
1,1546,0
1,1464,0
1,1471,0
1,1548,0
1,1497,0
1,1455,0
1,1481,0
1,1485,0
1,1550,0
1,1482,0
1,1450,0
1,1456,0
1,1454,0
1,1866,0
1,1498,0
1,1551,0
1,1480,0
1,1415,0
1,1464,0
1,1471,0
1,1472,0
1,1323,0
1,1421,0
1,1405,0
1,1480,0
1,1468,0
1,1448,0
1,1567,0
1,1625,0
1,1624,0
